出版社,冊次,課次,Label,GCS 連結,GitHub Pages 連結
翰林,B6,U4,HL_B6_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B6_U4
南一,B1,U1,NI_B1_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U1
南一,B1,U2,NI_B1_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U2
南一,B1,U3,NI_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U3
南一,B1,U4,NI_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U4
南一,B1,U5,NI_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U5
南一,B1,U6,NI_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B1_U6
南一,B2,U1,NI_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U1
南一,B2,U2,NI_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U2
南一,B2,U3,NI_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U3
南一,B2,U4,NI_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U4
南一,B2,U5,NI_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U5
南一,B2,U6,NI_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B2_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B2_U6
南一,B3,U1,NI_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U1
南一,B3,U2,NI_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U2
南一,B3,U3,NI_B3_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U3
南一,B3,U4,NI_B3_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U4
南一,B3,U5,NI_B3_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U5
南一,B3,U6,NI_B3_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B3_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B3_U6
南一,B4,U1,NI_B4_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U1
南一,B4,U2,NI_B4_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U2
南一,B4,U3,NI_B4_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U3
南一,B4,U4,NI_B4_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U4
南一,B4,U5,NI_B4_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U5
